name, docs, words, word_range, result
octavian, 32, 32, 1073741824, [0.015600204467773438, 0.0, 0.0]
octavian, 64, 256, 1048576, [0.07799983024597168, 0.07800006866455078, 0.07800006866455078]
tido, 64, 256, 1048576, [0.1248009204864502, 0.12480020523071289, 0.12479996681213379]
octavian, 64, 512, 1073741824, [0.1715998649597168, 0.15600085258483887, 0.1715998649597168]
tido, 64, 512, 1073741824, [0.24960017204284668, 0.23400092124938965, 0.23400020599365234]
octavian, 64, 512, 268435456, [0.1716010570526123, 0.1715998649597168, 0.1715998649597168]
tido, 64, 512, 268435456, [0.24960112571716309, 0.28079986572265625, 0.23400092124938965]
octavian, 64, 512, 67108864, [0.1716001033782959, 0.1716010570526123, 0.18720006942749023]
tido, 64, 512, 67108864, [0.24959993362426758, 0.2652010917663574, 0.24959993362426758]
octavian, 64, 512, 16777216, [0.18720078468322754, 0.1715998649597168, 0.18719983100891113]
tido, 64, 512, 16777216, [0.28080105781555176, 0.28080010414123535, 0.2964010238647461]
octavian, 64, 512, 4194304, [0.18720006942749023, 0.18720102310180664, 0.18720006942749023]
tido, 64, 512, 4194304, [0.2964010238647461, 0.312000036239624, 0.32760095596313477]
octavian, 64, 512, 1048576, [0.1716001033782959, 0.18720006942749023, 0.20280098915100098]
tido, 64, 512, 1048576, [0.3900010585784912, 0.40560007095336914, 0.3900010585784912]
octavian, 64, 1024, 1073741824, [0.3744010925292969, 0.37440013885498047, 0.37440013885498047]
tido, 64, 1024, 1073741824, [0.5304009914398193, 0.5460009574890137, 0.5304009914398193]
octavian, 64, 1024, 268435456, [0.3744008541107178, 0.35880088806152344, 0.35879993438720703]
tido, 64, 1024, 268435456, [0.5460009574890137, 0.5304009914398193, 0.5304009914398193]
octavian, 64, 1024, 67108864, [0.35879993438720703, 0.35880088806152344, 0.3432011604309082]
tido, 64, 1024, 67108864, [0.5616011619567871, 0.5460009574890137, 0.5460011959075928]
octavian, 64, 1024, 16777216, [0.37439990043640137, 0.3744008541107178, 0.35880088806152344]
tido, 64, 1024, 16777216, [0.6084010601043701, 0.6084010601043701, 0.6240010261535645]
octavian, 64, 1024, 4194304, [0.3744010925292969, 0.3900010585784912, 0.35879993438720703]
tido, 64, 1024, 4194304, [0.7956011295318604, 0.7644011974334717, 0.764401912689209]
octavian, 64, 1024, 1048576, [0.35879993438720703, 0.37439990043640137, 0.35880112648010254]
tido, 64, 1024, 1048576, [1.248002052307129, 1.2792019844055176, 1.248002052307129]
octavian, 128, 32, 1073741824, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 128, 32, 1073741824, [0.031199932098388672, 0.031199932098388672, 0.031200170516967773]
octavian, 128, 32, 268435456, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 128, 32, 268435456, [0.031199932098388672, 0.031200170516967773, 0.031199932098388672]
octavian, 128, 32, 67108864, [0.015599966049194336, 0.015599966049194336, 0.015600204467773438]
tido, 128, 32, 67108864, [0.031199932098388672, 0.031199932098388672, 0.03120112419128418]
octavian, 128, 32, 16777216, [0.015599966049194336, 0.031199932098388672, 0.015599966049194336]
tido, 128, 32, 16777216, [0.031200170516967773, 0.031199932098388672, 0.031199932098388672]
